name,city,state_code,country_code,lat,lon,coordinates,distance,query
ACT Biotech,San Francisco,CA,USA,37.7871306,-122.4041075,"[-122.4041075, 37.7871306]",578,companies nearby
Kongregate,San Francisco,CA,USA,37.786942,-122.401245,"[-122.401245, 37.786942]",614,companies nearby
Exent,San Francisco,CA,USA,37.787646,-122.402759,"[-122.402759, 37.787646]",648,companies nearby
Curse,San Francisco,CA,USA,37.787092,-122.399972,"[-122.399972, 37.787092]",683,companies nearby
hi5,San Francisco,CA,USA,37.788668,-122.400558,"[-122.400558, 37.788668]",814,companies nearby
Rupture,San Francisco,CA,USA,37.783898,-122.395234,"[-122.395234, 37.783898]",816,companies nearby
Serious Business,San Francisco,CA,USA,37.7893215,-122.4013624,"[-122.4013624, 37.7893215]",858,companies nearby
The Climate Corporation,San Francisco,CA,USA,37.782809,-122.394354,"[-122.394354, 37.782809]",869,companies nearby
GotGame,San Francisco,CA,USA,37.77772,-122.395785,"[-122.395785, 37.77772]",873,companies nearby
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067,"[-122.394067, 37.783046]",897,companies nearby
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067,"[-122.394067, 37.783046]",897,companies nearby
CastTV,San Francisco,CA,USA,37.780716,-122.393913,"[-122.393913, 37.780716]",912,companies nearby
PlayFirst,San Francisco,CA,USA,37.790346,-122.40185,"[-122.40185, 37.790346]",958,companies nearby
Heyzap,San Francisco,CA,USA,37.7905538,-122.4041485,"[-122.4041485, 37.7905538]",959,companies nearby
Crunchyroll,San Francisco,CA,USA,37.781265,-122.393229,"[-122.393229, 37.781265]",965,companies nearby
Mevio,San Francisco,CA,USA,37.782263,-122.392142,"[-122.392142, 37.782263]",1058,companies nearby
ngmoco,San Francisco,CA,USA,37.7705096,-122.4015807,"[-122.4015807, 37.7705096]",1290,companies nearby
Osprey Pharmaceuticals USA,San Francisco,CA,USA,37.775196,-122.419204,"[-122.419204, 37.775196]",1518,companies nearby
Outspark,San Francisco,CA,USA,37.775196,-122.419204,"[-122.419204, 37.775196]",1518,companies nearby
PurePlay,San Francisco,CA,USA,37.775196,-122.419204,"[-122.419204, 37.775196]",1518,companies nearby
99designs,San Francisco,CA,USA,37.7955307,-122.4005983,"[-122.4005983, 37.7955307]",1545,companies nearby
Zynga,San Francisco,CA,USA,37.765158,-122.404234,"[-122.404234, 37.765158]",1865,companies nearby
Carbonetworks,San Francisco,CA,USA,37.805289,-122.404448,"[-122.404448, 37.805289]",2598,companies nearby
Revision3,San Francisco,CA,USA,37.757758,-122.388243,"[-122.388243, 37.757758]",3031,companies nearby
